Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Aarbergen;Gemeinde;Rheingau-Taunus-Kreis;6.906;6.682;6.012;6.006
Abtsteinach;Gemeinde;Bergstraße;2.491;2.496;2.454;2.360
Ahnatal;Gemeinde;Kassel;7.790;8.313;8.030;7.893
Alheim;Gemeinde;Hersfeld-Rotenburg;5.318;5.340;5.115;4.985
Allendorf (Eder);Gemeinde;Waldeck-Frankenberg;5.235;5.678;5.626;5.665
Allendorf (Lumda);Stadt;Gießen;4.057;4.148;4.173;4.089
Alsbach-Hähnlein;Gemeinde;Darmstadt-Dieburg;8.807;9.356;9.072;9.299
Alsfeld;Stadt;Vogelsbergkreis;17.721;18.037;16.382;16.142
Altenstadt;Gemeinde;Wetteraukreis;11.739;12.279;11.865;11.859
Amöneburg;Stadt;Marburg-Biedenkopf;5.231;5.353;5.104;5.125
Angelburg;Gemeinde;Marburg-Biedenkopf;3.663;3.737;3.485;3.541
Antrifttal;Gemeinde;Vogelsbergkreis;2.168;2.238;2.047;1.919
Aßlar;Stadt;Lahn-Dill-Kreis;13.865;14.006;13.612;13.672
Babenhausen;Stadt;Darmstadt-Dieburg;16.300;16.342;15.587;16.728
Bad Arolsen;Stadt;Waldeck-Frankenberg;16.504;17.021;15.603;15.507
Bad Camberg;Stadt;Limburg-Weilburg;13.701;13.885;13.926;14.031
Bad Emstal;Gemeinde;Kassel;6.385;6.354;5.949;5.960
Bad Endbach;Gemeinde;Marburg-Biedenkopf;8.819;8.824;8.255;8.138
Bad Hersfeld;Stadt;Hersfeld-Rotenburg;31.319;30.673;28.610;29.116
Bad Homburg vor der Höhe;Stadt;Hochtaunuskreis;51.178;52.858;51.370;53.244
Bad Karlshafen;Stadt;Kassel;4.856;4.308;3.612;3.718
Bad König;Stadt;Odenwaldkreis;9.193;9.336;9.314;9.544
Bad Nauheim;Stadt;Wetteraukreis;29.323;30.459;30.210;31.630
Bad Orb;Stadt;Main-Kinzig-Kreis;10.011;9.993;9.201;9.631
Bad Salzschlirf;Gemeinde;Fulda;3.269;3.187;2.895;3.271
Bad Schwalbach;Stadt;Rheingau-Taunus-Kreis;10.937;11.071;10.394;10.697
Bad Soden am Taunus;Stadt;Main-Taunus-Kreis;20.022;20.753;21.061;22.161
Bad Soden-Salmünster;Stadt;Main-Kinzig-Kreis;13.181;13.635;13.414;13.361
Bad Sooden-Allendorf;Stadt;Werra-Meißner-Kreis;9.680;9.275;8.237;8.463
Bad Vilbel;Stadt;Wetteraukreis;26.153;29.978;31.280;33.020
Bad Wildungen;Stadt;Waldeck-Frankenberg;18.086;18.195;16.592;16.777
Bad Zwesten;Gemeinde;Schwalm-Eder-Kreis;4.233;4.250;3.915;3.898
Battenberg (Eder);Stadt;Waldeck-Frankenberg;5.693;5.734;5.516;5.414
Baunatal;Stadt;Kassel;26.845;28.052;27.378;27.617
Bebra;Stadt;Hersfeld-Rotenburg;15.976;15.265;13.758;13.888
Beerfelden;Stadt;Odenwaldkreis;7.155;6.957;6.477;6.399
Bensheim;Stadt;Bergstraße;36.930;38.746;39.253;40.051
Berkatal;Gemeinde;Werra-Meißner-Kreis;1.848;1.793;1.691;1.560
Beselich;Gemeinde;Limburg-Weilburg;5.342;5.752;5.564;5.669
Biblis;Gemeinde;Bergstraße;8.629;8.816;8.851;8.910
Bickenbach;Gemeinde;Darmstadt-Dieburg;4.931;5.362;5.397;5.777
Biebergemünd;Gemeinde;Main-Kinzig-Kreis;7.983;8.314;8.351;8.384
Biebertal;Gemeinde;Gießen;10.431;10.498;10.013;10.052
Biebesheim am Rhein;Gemeinde;Groß-Gerau;6.565;6.638;6.358;6.881
Biedenkopf;Stadt;Marburg-Biedenkopf;14.317;13.926;13.691;13.685
Birkenau;Gemeinde;Bergstraße;10.578;10.446;10.129;9.933
Birstein;Gemeinde;Main-Kinzig-Kreis;6.406;6.580;6.317;6.269
Bischoffen;Gemeinde;Lahn-Dill-Kreis;3.557;3.517;3.420;3.378
Bischofsheim;Gemeinde;Groß-Gerau;12.544;12.196;12.552;13.104
Borken (Hessen);Stadt;Schwalm-Eder-Kreis;14.325;13.858;12.859;12.633
Brachttal;Gemeinde;Main-Kinzig-Kreis;5.343;5.503;5.207;5.137
Braunfels;Stadt;Lahn-Dill-Kreis;11.114;11.511;10.763;10.862
Brechen;Gemeinde;Limburg-Weilburg;6.546;6.735;6.636;6.518
Breidenbach;Gemeinde;Marburg-Biedenkopf;6.700;6.953;6.984;6.818
Breitenbach a. Herzberg;Gemeinde;Hersfeld-Rotenburg;2.127;1.984;1.791;1.754
Breitscheid;Gemeinde;Lahn-Dill-Kreis;4.851;5.062;4.936;4.762
Brensbach;Gemeinde;Odenwaldkreis;5.299;5.477;5.123;5.041
Breuberg;Stadt;Odenwaldkreis;7.287;7.454;7.344;7.488
Breuna;Gemeinde;Kassel;3.855;3.887;3.726;3.590
Brombachtal;Gemeinde;Odenwaldkreis;3.675;3.702;3.585;3.475
Bromskirchen;Gemeinde;Waldeck-Frankenberg;1.879;1.972;1.867;1.838
Bruchköbel;Stadt;Main-Kinzig-Kreis;19.896;20.450;20.227;20.418
Büdingen;Stadt;Wetteraukreis;20.430;21.250;20.871;21.785
Burghaun;Marktgemeinde;Fulda;6.522;6.703;6.538;6.387
Burgwald;Gemeinde;Waldeck-Frankenberg;5.318;5.227;4.900;4.863
Bürstadt;Stadt;Bergstraße;15.515;15.279;15.211;16.060
Buseck;Gemeinde;Gießen;12.806;13.298;12.770;12.903
Büttelborn;Gemeinde;Groß-Gerau;12.809;13.269;13.597;14.574
Butzbach;Stadt;Wetteraukreis;24.257;25.070;23.885;25.557
Calden;Gemeinde;Kassel;7.693;7.882;7.529;8.061
Cölbe;Gemeinde;Marburg-Biedenkopf;6.901;7.053;6.726;6.799
Cornberg;Gemeinde;Hersfeld-Rotenburg;1.870;1.764;1.474;1.407
Darmstadt;Kreisfreie Stadt;Darmstadt;138.980;138.457;143.499;155.353
Dautphetal;Gemeinde;Marburg-Biedenkopf;12.302;12.158;11.700;11.584
Dieburg;Stadt;Darmstadt-Dieburg;14.235;15.223;14.528;15.500
Diemelsee;Gemeinde;Waldeck-Frankenberg;5.908;5.549;4.971;4.831
Diemelstadt;Stadt;Waldeck-Frankenberg;5.894;5.784;5.382;5.250
Dietzenbach;Stadt;Offenbach;32.550;33.350;31.845;33.397
Dietzhölztal;Gemeinde;Lahn-Dill-Kreis;6.660;6.502;5.996;5.757
Dillenburg;Stadt;Lahn-Dill-Kreis;25.093;25.017;23.874;23.510
Dipperz;Gemeinde;Fulda;3.278;3.443;3.323;3.450
Dornburg;Gemeinde;Limburg-Weilburg;8.560;8.633;8.519;8.527
Dreieich;Stadt;Offenbach;39.237;40.084;39.389;40.601
Driedorf;Gemeinde;Lahn-Dill-Kreis;5.206;5.289;5.120;5.146
Ebersburg;Gemeinde;Fulda;4.504;4.544;4.518;4.554
Ebsdorfergrund;Gemeinde;Marburg-Biedenkopf;8.957;8.965;8.879;8.900
Echzell;Gemeinde;Wetteraukreis;5.887;5.954;5.593;5.701
Edermünde;Gemeinde;Schwalm-Eder-Kreis;7.257;7.371;7.268;7.218
Edertal;Gemeinde;Waldeck-Frankenberg;6.978;6.998;6.548;6.292
Egelsbach;Gemeinde;Offenbach;9.421;9.724;10.877;11.494
Ehrenberg (Rhön);Gemeinde;Fulda;2.881;2.816;2.597;2.688
Ehringshausen;Gemeinde;Lahn-Dill-Kreis;9.280;9.420;9.252;9.265
Eichenzell;Gemeinde;Fulda;9.727;10.598;11.042;11.019
Einhausen;Gemeinde;Bergstraße;5.652;5.906;6.125;6.281
Eiterfeld;Marktgemeinde;Fulda;7.579;7.677;7.268;7.023
Elbtal;Gemeinde;Limburg-Weilburg;2.581;2.656;2.359;2.393
Eltville am Rhein;Stadt;Rheingau-Taunus-Kreis;16.832;16.604;16.639;16.970
Elz;Gemeinde;Limburg-Weilburg;7.449;7.975;8.049;8.123
Eppertshausen;Gemeinde;Darmstadt-Dieburg;5.713;5.731;5.960;6.231
Eppstein;Stadt;Main-Taunus-Kreis;12.848;13.515;13.297;13.626
Erbach;Stadt;Odenwaldkreis;12.851;13.308;13.245;13.401
Erlensee;Stadt;Main-Kinzig-Kreis;12.438;12.318;13.124;14.005
Erzhausen;Gemeinde;Darmstadt-Dieburg;6.570;6.616;7.481;7.864
Eschborn;Stadt;Main-Taunus-Kreis;18.836;20.015;20.364;20.824
Eschenburg;Gemeinde;Lahn-Dill-Kreis;10.708;10.781;10.273;10.111
Eschwege;Stadt;Werra-Meißner-Kreis;22.744;21.625;19.444;19.542
Espenau;Gemeinde;Kassel;4.710;5.049;4.898;5.070
Feldatal;Gemeinde;Vogelsbergkreis;3.086;2.975;2.625;2.512
Felsberg;Stadt;Schwalm-Eder-Kreis;11.610;11.443;10.783;10.624
Fernwald;Gemeinde;Gießen;6.588;6.600;6.468;6.607
Fischbachtal;Gemeinde;Darmstadt-Dieburg;2.691;2.761;2.650;2.627
Flieden;Gemeinde;Fulda;8.472;8.738;8.687;8.758
Flörsbachtal;Gemeinde;Main-Kinzig-Kreis;2.653;2.573;2.455;2.343
Flörsheim am Main;Stadt;Main-Taunus-Kreis;17.739;19.455;19.924;20.623
Florstadt;Stadt;Wetteraukreis;8.440;8.800;8.779;8.695
Frankenau;Stadt;Waldeck-Frankenberg;3.979;3.664;3.075;2.919
Frankenberg (Eder);Stadt;Waldeck-Frankenberg;18.890;19.191;18.057;17.855
Frankfurt am Main;Kreisfreie Stadt;Frankfurt am Main;650.055;641.076;667.925;732.688
Fränkisch-Crumbach;Gemeinde;Odenwaldkreis;3.308;3.395;3.185;3.184
Freiensteinau;Gemeinde;Vogelsbergkreis;3.422;3.458;3.236;3.131
Freigericht;Gemeinde;Main-Kinzig-Kreis;14.486;14.814;14.379;14.419
Friedberg (Hessen);Stadt;Wetteraukreis;25.988;27.173;27.337;28.156
Friedewald;Gemeinde;Hersfeld-Rotenburg;2.450;2.472;2.448;2.420
Friedrichsdorf;Stadt;Hochtaunuskreis;24.238;24.406;24.323;25.092
Frielendorf;Gemeinde;Schwalm-Eder-Kreis;8.272;8.214;7.621;7.296
Fritzlar;Stadt;Schwalm-Eder-Kreis;14.443;14.877;14.488;14.428
Fronhausen;Gemeinde;Marburg-Biedenkopf;3.944;4.128;4.069;4.048
Fulda;Stadt;Fulda;60.851;62.819;64.414;67.253
Fuldabrück;Gemeinde;Kassel;8.965;9.068;8.767;8.692
Fuldatal;Gemeinde;Kassel;12.974;12.289;11.892;12.395
Fürth;Gemeinde;Bergstraße;10.685;10.958;10.481;10.465
Gedern;Stadt;Wetteraukreis;7.424;7.806;7.594;7.456
Geisenheim;Stadt;Rheingau-Taunus-Kreis;11.357;11.903;11.490;11.690
Gelnhausen;Stadt;Main-Kinzig-Kreis;21.263;21.835;21.801;22.687
Gemünden (Felda);Gemeinde;Vogelsbergkreis;3.221;3.227;2.897;2.811
Gemünden (Wohra);Stadt;Waldeck-Frankenberg;4.256;4.266;3.896;4.127
Gernsheim;Stadt;Groß-Gerau;9.399;9.450;9.816;10.069
Gersfeld (Rhön);Stadt;Fulda;6.332;6.433;5.558;5.506
Gießen;Stadt;Gießen;73.889;73.295;74.776;84.455
Gilserberg;Gemeinde;Schwalm-Eder-Kreis;3.579;3.642;3.137;3.063
Ginsheim-Gustavsburg;Stadt;Groß-Gerau;15.014;16.095;15.701;16.208
Gladenbach;Stadt;Marburg-Biedenkopf;12.151;12.660;12.227;12.166
Glashütten;Gemeinde;Hochtaunuskreis;5.248;5.421;5.243;5.376
Glauburg;Gemeinde;Wetteraukreis;3.335;3.263;3.070;3.032
Gorxheimertal;Gemeinde;Bergstraße;4.240;4.199;4.056;4.160
Grasellenbach;Gemeinde;Bergstraße;3.774;3.920;3.802;3.995
Grävenwiesbach;Gemeinde;Hochtaunuskreis;4.809;5.223;5.187;5.278
Grebenau;Stadt;Vogelsbergkreis;3.086;2.947;2.533;2.375
Grebenhain;Gemeinde;Vogelsbergkreis;5.331;5.341;4.833;4.684
Grebenstein;Stadt;Kassel;6.167;6.186;5.943;5.808
Greifenstein;Gemeinde;Lahn-Dill-Kreis;7.586;7.449;6.855;6.866
Griesheim;Stadt;Darmstadt-Dieburg;23.282;24.730;25.511;26.907
Großalmerode;Stadt;Werra-Meißner-Kreis;7.961;7.698;6.750;6.469
Groß-Bieberau;Stadt;Darmstadt-Dieburg;4.246;4.513;4.612;4.730
Großenlüder;Gemeinde;Fulda;8.365;8.685;8.551;8.692
Groß-Gerau;Stadt;Groß-Gerau;23.070;23.342;23.739;24.648
Großkrotzenburg;Gemeinde;Main-Kinzig-Kreis;7.111;7.168;7.328;7.497
Groß-Rohrheim;Gemeinde;Bergstraße;3.638;3.714;3.713;3.768
Groß-Umstadt;Stadt;Darmstadt-Dieburg;20.714;21.571;20.699;20.821
Groß-Zimmern;Gemeinde;Darmstadt-Dieburg;12.764;13.685;13.523;14.069
Grünberg;Stadt;Gießen;13.784;14.344;13.759;13.634
Gründau;Gemeinde;Main-Kinzig-Kreis;13.595;14.739;14.355;14.633
Gudensberg;Stadt;Schwalm-Eder-Kreis;8.440;9.063;9.176;9.532
Gutsbezirk Kaufunger Wald;Gemeindefreies Gebiet;Werra-Meißner-Kreis;0;0;0;0
Gutsbezirk Reinhardswald;Gemeindefreies Gebiet;Kassel;0;0;0;0
Gutsbezirk Spessart;Gemeindefreies Gebiet;Main-Kinzig-Kreis;0;0;0;0
Guxhagen;Gemeinde;Schwalm-Eder-Kreis;5.283;5.447;5.264;5.309
Habichtswald;Gemeinde;Kassel;5.036;5.352;5.115;4.974
Hadamar;Stadt;Limburg-Weilburg;11.918;12.342;12.029;12.426
Haiger;Stadt;Lahn-Dill-Kreis;20.324;20.201;19.669;19.199
Haina (Kloster);Gemeinde;Waldeck-Frankenberg;3.812;3.711;3.736;3.581
Hainburg;Gemeinde;Offenbach;14.835;15.267;13.799;14.254
Hammersbach;Gemeinde;Main-Kinzig-Kreis;4.820;4.834;4.771;4.797
Hanau;Stadt;Main-Kinzig-Kreis;88.921;88.801;86.803;92.643
Hasselroth;Gemeinde;Main-Kinzig-Kreis;7.543;7.429;7.301;7.261
Hattersheim am Main;Stadt;Main-Taunus-Kreis;24.568;24.858;24.773;26.908
Hatzfeld (Eder);Stadt;Waldeck-Frankenberg;3.427;3.408;3.078;3.029
Hauneck;Gemeinde;Hersfeld-Rotenburg;3.453;3.438;3.179;3.175
Haunetal;Gemeinde;Hersfeld-Rotenburg;3.170;3.242;3.060;2.943
Heidenrod;Gemeinde;Rheingau-Taunus-Kreis;7.914;8.118;7.841;7.898
Helsa;Gemeinde;Kassel;5.924;5.961;5.648;5.570
Heppenheim (Bergstraße);Stadt;Bergstraße;25.270;25.443;24.895;25.284
Herborn;Stadt;Lahn-Dill-Kreis;21.701;21.254;20.632;20.816
Herbstein;Stadt;Vogelsbergkreis;5.318;5.251;4.858;4.808
Heringen (Werra);Stadt;Hersfeld-Rotenburg;8.668;8.199;7.565;7.294
Herleshausen;Gemeinde;Werra-Meißner-Kreis;3.116;3.099;2.889;2.816
Hesseneck;Gemeinde;Odenwaldkreis;774;725;662;640
Hessisch Lichtenau;Stadt;Werra-Meißner-Kreis;14.323;13.807;12.158;12.100
Heuchelheim;Gemeinde;Gießen;7.810;7.570;7.308;7.501
Heusenstamm;Stadt;Offenbach;18.498;18.828;17.929;18.752
Hilders;Marktgemeinde;Fulda;5.055;4.957;4.626;4.757
Hirschhorn (Neckar);Stadt;Bergstraße;3.811;3.752;3.541;3.436
Hirzenhain;Gemeinde;Wetteraukreis;3.092;3.050;2.893;2.828
Hochheim am Main;Stadt;Main-Taunus-Kreis;16.031;17.232;16.886;17.057
Höchst i. Odw.;Gemeinde;Odenwaldkreis;9.676;10.056;9.928;10.076
Hofbieber;Gemeinde;Fulda;5.776;6.311;6.069;5.985
Hofgeismar;Stadt;Kassel;16.602;16.880;15.109;14.872
Hofheim am Taunus;Stadt;Main-Taunus-Kreis;36.245;37.638;37.842;39.476
Hohenahr;Gemeinde;Lahn-Dill-Kreis;5.010;5.044;4.886;4.810
Hohenroda;Gemeinde;Hersfeld-Rotenburg;3.652;3.447;3.201;3.114
Hohenstein;Gemeinde;Rheingau-Taunus-Kreis;6.338;6.202;6.025;6.112
Homberg (Efze);Stadt;Schwalm-Eder-Kreis;15.388;15.345;13.949;13.907
Homberg (Ohm);Stadt;Vogelsbergkreis;8.024;8.077;7.659;7.568
Hosenfeld;Gemeinde;Fulda;4.488;4.700;4.726;4.629
Hünfeld;Stadt;Fulda;15.379;16.159;15.850;15.996
Hünfelden;Gemeinde;Limburg-Weilburg;9.983;10.341;9.785;9.646
Hungen;Stadt;Gießen;12.748;12.747;12.500;12.471
Hünstetten;Gemeinde;Rheingau-Taunus-Kreis;9.298;9.863;9.993;10.421
Hüttenberg;Gemeinde;Lahn-Dill-Kreis;10.178;10.296;10.532;10.731
Idstein;Stadt;Rheingau-Taunus-Kreis;22.176;22.786;23.271;24.108
Immenhausen;Stadt;Kassel;7.218;7.171;6.991;6.868
Jesberg;Gemeinde;Schwalm-Eder-Kreis;2.878;2.783;2.478;2.347
Jossgrund;Gemeinde;Main-Kinzig-Kreis;4.652;3.866;3.626;3.448
Kalbach;Gemeinde;Fulda;6.106;6.316;6.304;6.264
